test_image,nearest_match,match_split,dhash_distance,same_class,byte_identical_dup
test/potato_fungi/Copy of 20230712_154218.jpg,train/potato_fungi/20230712_154218.jpg,train,0,TRUE,TRUE
test/potato_fungi/IMG_20230816_122345~2 (2).jpg,val/potato_fungi/IMG_20230816_122345~2.jpg,val,0,TRUE,TRUE
test/rice_blast/102334.jpg,train/rice_blast/102705.jpg,train,0,TRUE,TRUE
test/rice_blast/IMG20201109200100_00.jpg,train/rice_blast/IMG20201109200133_00.jpg,train,0,TRUE,FALSE
test/rice_blast/IMG_20231018_143805 - Copy.jpg,train/rice_blast/IMG_20231018_143805.jpg,train,0,TRUE,TRUE
test/rice_blast/IMG_20231018_143815.jpg,train/rice_blast/IMG_20231018_143815 - Copy.jpg,train,0,TRUE,TRUE
test/rice_blast/IMG_20231018_143818_1 - Copy.jpg,train/rice_blast/IMG_20231018_143818_1.jpg,train,0,TRUE,TRUE
test/rice_blast/IMG_20231018_143820 - Copy.jpg,train/rice_blast/IMG_20231018_143820.jpg,train,0,TRUE,TRUE
test/rice_blast/IMG_20231018_143839.jpg,train/rice_blast/IMG_20231018_143839 - Copy.jpg,train,0,TRUE,TRUE
test/rice_blast/IMG_20231018_143920.jpg,train/rice_blast/IMG_20231018_143920 - Copy.jpg,train,0,TRUE,TRUE
test/rice_blast/RB_120.jpg,train/rice_tungro_virus/RT_103.jpg,train,0,FALSE,FALSE
test/rice_blast/RB_98.jpg,val/rice_tungro_virus/RT_175.jpg,val,0,FALSE,FALSE
test/rice_blast/mehedi (4).jpg,val/rice_blast/mehedi (2).jpg,val,0,TRUE,FALSE
test/rice_brown_spot/Brown_spot (133).jpg,train/rice_brown_spot/Brown_spot (134).jpg,train,0,TRUE,TRUE
test/rice_brown_spot/Brown_spot (36).jpg,val/rice_brown_spot/Brown_spot (35).jpg,val,0,TRUE,FALSE
test/rice_brown_spot/IMG_20231018_143709.jpg,train/rice_brown_spot/IMG_20231018_143709 - Copy.jpg,train,0,TRUE,TRUE
test/rice_brown_spot/IMG_20231018_143711 - Copy.jpg,train/rice_brown_spot/IMG_20231018_143711.jpg,train,0,TRUE,TRUE
